lat,lon,poi_type,privacy_score,dist_to_center
40.626114246481876,22.948181929699782,park,0.9,0.03670619173595285
40.62695827585661,22.948842910649837,park,0.9,0.07244052554315014
40.62710538738051,22.948139336451785,park,0.9,0.08137644115397619
40.6272191,22.9490329,restaurant,0.3,0.10555022282468297
40.6272812,22.9478576,cafe,0.5,0.10808093448561133
40.6273302,22.9488629,restaurant,0.3,0.11047119876166789
40.6274476,22.9487326,restaurant,0.3,0.11968770839335137
40.62720516386683,22.949395489405973,restaurant,0.3,0.12283469504190586
40.6275545,22.948617,cafe,0.5,0.1295113977991303
40.6276045,22.9481729,cafe,0.5,0.13512881213789754
40.627637,22.9485472,restaurant,0.3,0.13792820484747612
40.6270401,22.9498311,restaurant,0.3,0.1404047730788275
40.6277432,22.9481456,restaurant,0.3,0.15070295322732621
40.6270952,22.9499397,cafe,0.5,0.15142758505093923
40.6278501,22.9483969,cafe,0.5,0.16102904429692064
40.6269867,22.9502074,restaurant,0.3,0.16622091752965365
40.6276265,22.9472656,cafe,0.5,0.16661953382522351
40.6278946,22.9481278,cafe,0.5,0.1675606322109006
40.6269411,22.9502791,cafe,0.5,0.16996291894274546
40.6278954,22.9479397,cafe,0.5,0.17056486762744724
40.6275807,22.9498679,cafe,0.5,0.1805966239278154
40.6279173,22.94924,cafe,0.5,0.1828667880303188
40.6281085,22.9483678,restaurant,0.3,0.18974286358065265
40.6258141,22.9505805,cafe,0.5,0.1956258950952497
40.6281066,22.9477161,restaurant,0.3,0.19814904263358882
40.6281889,22.9484745,cafe,0.5,0.1987514374729395
40.628163,22.9491677,restaurant,0.3,0.20626896984419685
40.6283350022162,22.948383068764404,park,0.9,0.21488040932702243
40.62472645078281,22.949909546834338,park,0.9,0.22549987646899208
40.6281157,22.9469605,restaurant,0.3,0.22612457047303497
40.6283606,22.9476132,restaurant,0.3,0.2276678162368213
40.6284023,22.9477953,restaurant,0.3,0.22815904741751297
40.6283302,22.9473713,restaurant,0.3,0.23133919189349653
40.6283229,22.9472285,cafe,0.5,0.2354146409118056
40.6283082,22.9471243,restaurant,0.3,0.23780446466163338
40.628528,22.9470925,cafe,0.5,0.26091917686365473
40.6282834,22.9464197,cafe,0.5,0.26798142875255315
40.6288268,22.9484513,cafe,0.5,0.26952312299160225
40.6284327,22.95018,cafe,0.5,0.2713525606350414
40.6288728,22.9484919,restaurant,0.3,0.2747063832836995
40.6255141278715,22.95148168927153,cafe,0.5,0.27867893601653754
40.6288142,22.9494232,cafe,0.5,0.28171978334990927
40.6284973,22.9463924,restaurant,0.3,0.2882587422902722
40.6287991,22.9499299,cafe,0.5,0.2961928507492541
40.62530536053895,22.95159737710746,park,0.9,0.2965820819351221
40.6290737,22.9481227,restaurant,0.3,0.2978311323950232
40.6287858,22.9500401,restaurant,0.3,0.2990754084680887
40.6274883,22.9517176,cafe,0.5,0.3056055884418573
40.6291665,22.9491857,cafe,0.5,0.3143205963433897
40.6274569,22.9520366,restaurant,0.3,0.3293090883589232
